Thu Dec 21 11:36:55 2023    profile_results.prof

         565549 function calls (546044 primitive calls) in 24.293 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.049    0.001 adapters.py:319(close)
   110/60    0.000    0.000    0.037    0.001 ee_list.py:77(encode_cloud_value)
       40    0.000    0.000    0.002    0.000 image.py:603(select)
       30    0.000    0.000    0.000    0.000 ssl.py:324(_inet_paton)
      120    0.000    0.000    0.007    0.000 schema.py:147(prettyPrintSchema)
      270    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
     1260    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      120    0.000    0.000    0.000    0.000 timeout.py:102(__init__)
   300/40    0.000    0.000    0.001    0.000 customfunction.py:160(CountNode)
      493    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       20    0.000    0.000    0.001    0.000 inspect.py:1129(getfullargspec)
       30    0.000    0.000    0.048    0.002 poolmanager.py:173(<lambda>)
      691    0.000    0.000    0.001    0.000 serializer.py:529(_is_always_liftable)
      180    0.000    0.000    0.001    0.000 parse.py:819(quote)
     1564    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
      300    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      480    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      120    0.000    0.000    0.001    0.000 discovery.py:843(_fix_up_method_description)
       30    0.000    0.000    0.002    0.000 decoder.py:332(decode)
       30    0.000    0.000    0.043    0.001 sessions.py:273(rebuild_proxies)
       20    0.000    0.000    0.001    0.000 inspect.py:2244(_signature_from_callable)
       60    0.000    0.000    0.001    0.000 utils.py:803(select_proxy)
       30    0.000    0.000    0.000    0.000 response.py:414(_flush_decoder)
       90    0.000    0.000    0.000    0.000 url.py:91(__new__)
       30    0.000    0.000    0.001    0.000 common.py:224(asarray_tuplesafe)
       10    0.000    0.000    0.002    0.000 cast.py:1790(find_common_type)
       10    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      140    0.000    0.000    0.000    0.000 common.py:1578(_is_dtype_type)
       60    0.000    0.000    0.002    0.000 request.py:2654(getproxies_registry)
       30    0.000    0.000    0.031    0.001 sessions.py:701(merge_environment_settings)
     1010    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       40    0.000    0.000    0.001    0.000 generic.py:5489(__setattr__)
