Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      420    0.000    0.000    0.000    0.000 _collections_abc.py:779(items)
       50    0.000    0.000    0.001    0.000 featurecollection.py:31(__init__)
      210    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
       20    0.000    0.000    0.020    0.001 indexing.py:1132(_getitem_axis)
       30    0.000    0.000    0.002    0.000 ssl.py:371(match_hostname)
       70    0.000    0.000   12.342    0.176 ssl.py:1090(read)
      100    0.000    0.000    0.010    0.000 apifunction.py:43(__init__)
      360    0.000    0.000    0.001    0.000 _collections_abc.py:825(__iter__)
      450    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       30    0.000    0.000    0.001    0.000 feedparser.py:101(push)
      270    0.000    0.000    0.000    0.000 _cloud_api_utils.py:589(encode_number_as_cloud_value)
       90    0.000    0.000    0.001    0.000 ntpath.py:289(expanduser)
       20    0.000    0.000    0.001    0.000 inspect.py:2150(_signature_from_function)
     1500    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       60    0.000    0.000    0.001    0.000 ssl.py:710(verify_mode)
      515    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       90    0.000    0.000    0.001    0.000 url.py:244(_remove_path_dot_segments)
      360    0.000    0.000    0.000    0.000 _collections.py:187(__iter__)
      120    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
       60    0.000    0.000    0.024    0.000 models.py:823(content)
       60    0.000    0.000    0.001    0.000 adapters.py:113(__init__)
       30    0.000    0.000    0.003    0.000 sessions.py:362(__init__)
       30    0.000    0.000    0.006    0.000 models.py:358(prepare_url)
      330    0.000    0.000    0.000    0.000 queue.py:21(_get)
      100    0.000    0.000    0.006    0.000 copy.py:200(_deepcopy_list)
      390    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      691    0.000    0.000    0.001    0.000 serializer.py:529(_is_always_liftable)
      180    0.000    0.000    0.000    0.000 cookiejar.py:1219(vals_sorted_by_key)
       30    0.000    0.000    0.000    0.000 utils.py:482(_parse_content_type_header)
       30    0.000    0.000    0.001    0.000 response.py:40(assert_header_parsing)
      660    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       40    0.000    0.000    0.003    0.000 image.py:603(select)
      390    0.000    0.000    0.002    0.000 {built-in method builtins.next}
      110    0.000    0.000    0.000    0.000 ee_string.py:21(__init__)
       20    0.000    0.000    0.001    0.000 indexing.py:984(_is_scalar_access)
       90    0.000    0.000    0.000    0.000 idna.py:147(encode)
       60    0.000    0.000    0.001    0.000 parse.py:912(urlencode)
       30    0.000    0.000   12.363    0.412 client.py:1327(getresponse)
       60    0.000    0.000    0.001    0.000 discovery.py:1518(_add_next_methods)
