ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,Days_of_data_acquisition_offset
CH26,Childs,2023-07-28,40.319109,-121.467808,8.32695667,0.615588292,1.13109056,5.841796538,0.0203575,0.0525324999999999,0.0376549999999999,0.3680125,0.161955,0.07588,0.8143553525978788,0.3888115780684664,0.5730354229672101,0.5471503062658205,-0.3210313275961767,-0.5101579346115742,0.7421266715031133,281.2889099121094,306.9398193359375,7.005425212963407,9.773270482007703,2
CH27,Childs,2023-07-28,40.318895,-121.467799,7.287283121,0.711183009,1.247697834,4.773124259,0.0196425,0.0555025,0.0343,0.41996,0.1706174999999999,0.0774199999999999,0.8489851626821644,0.4222011505687231,0.6521395422374748,0.6062184310355668,-0.3641236889468133,-0.5090880948169113,0.7748558426212215,281.2953186035156,306.94268798828125,7.5665060132426465,12.24373177842566,2
CH28,Childs,2023-07-28,40.319507,-121.469175,12.55287927,1.059767349,3.230021495,6.916081823,0.018405,0.0498099999999999,0.0313575,0.3597349999999999,0.155355,0.0716999999999999,0.8396415170324156,0.3967850278592089,0.5822946534807967,0.5527666880823259,-0.3388982079392407,-0.514439597397217,0.7597700047353118,281.3047180175781,306.9271545410156,7.222144147761494,11.47205612692338,2
CH29,Childs,2023-07-28,40.319027,-121.469372,9.135405557,0.696781489,3.824718593,5.12052528,0.0191749999999999,0.0498649999999999,0.033365,0.377335,0.1766674999999999,0.0809675,0.8375213050888726,0.3622140694310947,0.5997890093027717,0.5665477105523223,-0.3074434190514268,-0.559754119166124,0.7483576206471473,281.32501220703125,306.9294738769531,7.5671312543868465,11.309306159148807,2
CH31,Childs,2023-07-28,40.319259,-121.470866,10.6440935,0.75264733,0.435333823,5.268859267,0.0224199999999999,0.0558049999999999,0.0396074999999999,0.3764,0.18401,0.0854225,0.8095827599262034,0.3433022251565817,0.5823253071626917,0.5515115869684475,-0.2814780600461894,-0.534599587181786,0.7259479817436523,281.34820556640625,306.91357421875,6.744915330167549,9.503250646973427,2
CH33,Childs,2023-07-28,40.319371,-121.47003,11.46148124,0.857595923,2.53037785,5.61702218,0.0182674999999999,0.0504425,0.0317975,0.40555,0.1767225,0.0793174999999999,0.8545893139894478,0.3929903953904744,0.64028153354753,0.5981012911433594,-0.3404787791329788,-0.5558954944643761,0.7699702109932804,281.326904296875,306.9173583984375,8.039847350944145,12.754147338627249,2
CH35,Childs,2023-07-28,40.3193,-121.470842,8.794475392,0.526282222,3.739595283,3.374822106,0.0209624999999999,0.0438975,0.0290749999999999,0.3592675,0.1477375,0.07049,0.8502610453401314,0.417214820366663,0.5996963309992108,0.5575425581912381,-0.3651741114905954,-0.5418634383071986,0.7673307423583579,281.34820556640625,306.91357421875,8.184236004328264,12.356577815993129,2
CH37,Childs,2023-07-24,40.34434,-121.480531,17.66213894,1.10353845,1.066956559,6.630807122,0.04211,0.065925,0.0771999999999999,0.222565,0.32019,0.23406,0.484929861725018,-0.179869370157806,0.2652762164766341,0.2726394628422099,0.2004561485654732,-0.6585214249640651,0.2070228757585076,280.8377685546875,306.6570129394531,3.3760333712552137,2.882966321243524,2
CH39,Childs,2023-07-24,40.343857,-121.481086,13.0792399,1.227779307,2.41143843,4.922912301,0.0297624999999999,0.0586924999999999,0.0579224999999999,0.2629625,0.2265249999999999,0.137095,0.6389828131573617,0.074440103169131,0.3695003617693992,0.3746688025728329,-0.0143414663727049,-0.5884368946505738,0.4784765247136167,280.84991455078125,306.664794921875,4.480342462835968,4.539902455867755,2
CH40,Childs,2023-07-24,40.344155,-121.480675,11.96729489,0.933638386,1.428439109,5.319119945,0.03727,0.06466,0.0800874999999999,0.227075,0.30226,0.2124725,0.4785333496113622,-0.1420367064335439,0.2573175428461391,0.2731559630185992,0.1824708033570823,-0.6475526000218031,0.2428440343623183,280.837646484375,306.65838623046875,3.5118311166099603,2.8353363508662413,2
CH41,Childs,2023-07-24,40.34412,-121.481248,11.05981885,1.040946677,0.752116918,6.930697264,0.0325675,0.0622674999999999,0.0583075,0.27762,0.2282025,0.1412475,0.6528566431744944,0.097697314769509,0.3963835899678917,0.3935374180177109,-0.0396809103440185,-0.5712638138189832,0.4908929703499613,280.8437194824219,306.6622619628906,4.458505640984464,4.761308579513784,2
CH42,Childs,2023-07-24,40.344592,-121.480585,11.28305806,0.989843562,0.040812546,6.920096688,0.039635,0.0567674999999999,0.0703249999999999,0.1807375,0.260735,0.1899775,0.4397809310430671,-0.1812060773887388,0.2114493364230041,0.2205126071398852,0.2007271968917319,-0.6424122644703586,0.1901994536886551,280.83154296875,306.65447998046875,3.183819967410932,2.5700319943121235,2
CH46,Childs,2023-07-24,40.344482,-121.480479,,,0.075794728,,0.04211,0.065925,0.0771999999999999,0.222565,0.32019,0.23406,0.484929861725018,-0.179869370157806,0.2652762164766341,0.2726394628422099,0.2004561485654732,-0.6585214249640651,0.2070228757585076,280.83154296875,306.65447998046875,3.3760333712552137,2.882966321243524,2
CH49,Childs,2023-07-24,40.344366,-121.480368,12.6261314,0.836228159,2.716949488,5.246346617,0.0342724999999999,0.0483524999999999,0.0569325,0.1692975,0.2015825,0.1498,0.4966847898156743,-0.0870497195858499,0.2240401802849027,0.2320855651790755,0.1189066946557452,-0.6130794006441675,0.2677106776436707,280.8377685546875,306.6570129394531,3.501318442686521,2.973653010143591,2
CH50,Childs,2023-07-24,40.344696,-121.480195,14.90311351,1.180694219,0.373143277,6.166443716,0.0354275,0.0525324999999999,0.06213,0.2041125,0.22361,0.1582974999999999,0.5332826276796528,-0.0455844618882569,0.2707138287943456,0.277945624263859,0.0879530916844349,-0.6195261504476857,0.323016682212187,280.82537841796875,306.65057373046875,3.885451863132349,3.285248672139063,2
A10,Alkali Flat,2016-07-08,40.09414684,-120.3433888,7.890251686,0.767969937,1.096108377,2.545078331,0.0229425,0.0460424999999999,0.0447499999999999,0.2620275,0.1683625,0.0911699999999999,0.7082576134168901,0.2176281976811728,0.3998603196453335,0.4039729045492717,-0.1442682688108898,-0.5705090832769759,0.6016238272163736,277.592041015625,305.9811096191406,5.690992018244016,5.855363128491622,1
