ID,Burn_year,Sides
2810,2020,All sides
2811,2020,All sides
2812,2020,All sides
2813,2020,All sides
2836,2020,All sides
2838,2000,At least 1 side
2858,2020,All sides
2859,2020,All sides
2860,2020,All sides
2864,1989,All sides
2865,1989,At least 1 side
2871,2020,All sides
2872,2020,All sides
2873,2020,All sides
2874,2020,All sides
2875,2020,All sides
2876,2020,All sides
2877,2020,All sides
2878,2020,All sides
2879,2020,All sides
2880,2020,All sides
2881,2020,All sides
2882,2020,All sides
2883,2020,All sides
2885,2020,All sides
2886,2020,At least 1 side
2887,2020,All sides
2888,2020,All sides
2889,2020,All sides
2891,2020,At least 1 side
2892,2020,All sides
2893,2020,All sides
2895,2020,All sides
2935,2020,At least 1 side
2936,2020,All sides
2938,2020,At least 1 side
2943,2020,All sides
2944,2020,At least 1 side
2945,2020,All sides
2948,2020,At least 1 side
2950,2020,At least 1 side
2951,2020,All sides
2953,2020,All sides
2955,2020,All sides
2956,2020,All sides
2960,2020,All sides
2961,2020,All sides
2963,2015,All sides
2964,2015,All sides
2965,2015,All sides
2966,2015,All sides
2967,2015,All sides
2968,1989,At least 1 side
2969,1989,At least 1 side
2971,1989,At least 1 side
2972,1989,All sides
2973,1986,All sides
3013,2021,At least 1 side
3021,2020,All sides
3022,2020,All sides
3023,2020,All sides
3024,2020,All sides
3025,2020,All sides
3027,2020,At least 1 side
3027,2021,At least 1 side
3028,2020,All sides
3029,2020,At least 1 side
3030,2020,All sides
3031,2020,At least 1 side
3032,2020,At least 1 side
3053,2020,All sides
3054,2020,All sides
3057,2001,All sides
3059,2020,At least 1 side
3060,2020,All sides
3070,2018,All sides
3071,2017,At least 1 side
3071,2018,At least 1 side
3072,2017,All sides
3076,2017,All sides
3077,2022,All sides
3078,2022,All sides
3079,2020,All sides
3080,2020,All sides
3081,2020,At least 1 side
3082,2020,All sides
3105,2020,All sides
3106,2020,All sides
3107,2020,At least 1 side
3110,2020,All sides
3111,2018,All sides
3112,2020,All sides
3113,2020,All sides
3114,2020,All sides
3115,2010,All sides
3116,2010,All sides
3117,2018,All sides
3118,2018,All sides
3119,2020,All sides
3120,2020,All sides
3121,2020,All sides
3122,2020,All sides
3123,2020,All sides
3124,2018,All sides
3125,2018,All sides
3129,2018,All sides
3130,2020,At least 1 side
3131,2020,At least 1 side
3136,2020,At least 1 side
3137,2020,At least 1 side
3140,2020,At least 1 side
3161,2018,All sides
3162,2018,All sides
3163,2018,All sides
3164,2003,All sides
3165,2003,All sides
3166,2003,All sides
3167,2018,All sides
3168,2018,All sides
3169,2018,All sides
3170,2018,All sides
3171,2018,All sides
3222,2020,All sides
3226,2020,All sides
3227,2020,At least 1 side
3227,2016,At least 1 side
3232,2020,All sides
3234,2020,All sides
3235,2020,All sides
3275,2020,All sides
3276,2015,All sides
3277,1988,All sides
3280,2015,All sides
3282,2015,All sides
3283,2015,All sides
3284,2015,All sides
3285,2015,All sides
3287,2015,All sides
3289,2015,All sides
3290,2015,All sides
3291,2015,All sides
3292,2015,All sides
3294,2015,All sides
3295,2008,All sides
3297,2015,All sides
3299,2008,At least 1 side
3302,2015,All sides
3303,2015,All sides
3304,2015,At least 1 side
3305,2015,All sides
3316,2008,At least 1 side
3332,2008,At least 1 side
3368,2020,All sides
3382,2020,All sides
3398,1999,At least 1 side
3399,2020,All sides
3440,2020,At least 1 side
3444,2020,At least 1 side
3445,2020,At least 1 side
3466,2020,At least 1 side
3471,2020,At least 1 side
3476,2020,All sides
3491,2020,All sides
3530,2020,All sides
3540,2020,All sides
3546,2020,All sides
3549,2020,All sides
3556,2020,All sides
3567,2020,All sides
3568,2020,All sides
3577,2020,All sides
3579,2020,All sides
3580,2020,All sides
3582,2020,All sides
3583,2020,All sides
3585,2020,All sides
3588,2020,All sides
3591,2020,All sides
3592,2020,All sides
3594,2020,All sides
3595,2020,All sides
3598,2020,All sides
3603,2020,All sides
3604,2020,All sides
3609,2020,All sides
3610,2020,All sides
3613,2020,All sides
3614,2020,All sides
3616,2020,All sides
3617,2020,All sides
3619,2020,At least 1 side
3620,2020,All sides
3621,2020,All sides
3622,2020,At least 1 side
3624,2020,At least 1 side
3625,2020,At least 1 side
3631,2020,All sides
3637,2020,All sides
3647,2020,At least 1 side
3665,2020,All sides
3684,2020,All sides
3688,2020,All sides
3689,2020,All sides
3705,2020,All sides
3706,2020,All sides
3715,2020,All sides
3721,2020,All sides
3725,2020,All sides
3726,2020,All sides
3730,2020,All sides
3732,2020,All sides
3733,2020,All sides
3734,2020,At least 1 side
3735,2020,All sides
3744,2020,All sides
3749,2020,At least 1 side
3750,2020,All sides
3767,2020,All sides
3786,2020,All sides
3787,2020,All sides
3802,2020,All sides
3803,2020,All sides
3806,2020,All sides
3812,2020,All sides
3814,2013,At least 1 side
3815,2013,At least 1 side
3840,2013,All sides
3847,2020,All sides
3850,2020,All sides
3851,2013,At least 1 side
3853,2020,All sides
3854,2020,At least 1 side
3857,2013,All sides
3859,2013,All sides
3861,2020,All sides
3866,2020,At least 1 side
3867,2020,All sides
3868,2013,All sides
3869,2020,All sides
3875,2020,All sides
3876,2020,At least 1 side
3878,2020,All sides
3879,2020,All sides
3883,2020,All sides
3884,2020,All sides
3890,2020,All sides
3891,2020,All sides
3893,2020,All sides
3899,2020,All sides
3900,2020,All sides
3901,2020,All sides
3902,2020,All sides
3903,2020,All sides
3909,2020,All sides
3917,2020,All sides
3920,2020,All sides
3921,2020,All sides
3924,2020,All sides
3934,2020,All sides
3935,2020,All sides
3937,2020,All sides
3940,2020,All sides
3942,2020,All sides
3945,2020,All sides
3946,2020,All sides
3947,2020,All sides
3953,2017,At least 1 side
3955,2020,All sides
3957,2020,All sides
3961,2020,All sides
3963,2020,All sides
3964,2020,All sides
3968,2020,All sides
3969,2020,All sides
3975,2020,All sides
3979,2020,All sides
3980,2020,All sides
3981,2020,All sides
3987,2020,All sides
3988,2017,All sides
3990,2017,All sides
3992,2020,All sides
4006,2020,All sides
4008,2020,All sides
4017,2020,All sides
4022,2020,All sides
4023,2020,All sides
4039,2020,All sides
4040,2020,All sides
4048,2020,All sides
4050,2020,All sides
4053,2020,All sides
4065,2020,All sides
4068,2020,All sides
4108,2020,All sides
4131,2020,All sides
4132,2017,All sides
4153,2020,All sides
4157,2020,All sides
4162,2020,All sides
4169,2020,All sides
4175,2020,All sides
4177,2020,All sides
4181,2020,All sides
4191,2020,All sides
4194,2020,All sides
4197,2020,At least 1 side
4198,2020,All sides
4199,2020,All sides
