ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
FM6,Freeman,8/3/2021,39.67395835,-120.604603,10.16287117,1.118501389,9.748368122,6.767365316
FM8,Freeman,8/3/2021,39.67432903,-120.604481,10.47837556,0.842958438,4.442737147,5.942539688
MKM-S1,McKenzie,11/1/2021,40.34857263,-120.903037,8.840941139,0.694998041,0.647170372,4.898216319
MKM-S10,McKenzie,11/1/2021,40.34692628,-120.9146379,6.679194545,0.415919635,2.973485491,2.529960729
MKM-S11,McKenzie,11/1/2021,40.34627417,-120.9169383,8.940533739,0.834010147,1.813243114,4.653653645
MKM-S12,McKenzie,11/1/2021,40.34420472,-120.9155815,6.962082992,0.379727845,0.822081283,3.039144852
MKM-S2,McKenzie,11/1/2021,40.34838086,-120.9065915,5.207255164,0.376700605,1.364305107,4.758830873
MKM-S3,McKenzie,11/1/2021,40.34809539,-120.9089928,15.2617461,1.273985793,3.848040048,10.10244748
MKM-S4,McKenzie,11/1/2021,40.34756548,-120.9114546,12.40255964,0.874437347,1.679144748,5.762674594
MKM-S5,McKenzie,11/1/2021,40.34984831,-120.911333,10.66714948,0.721370156,1.568367838,3.20428367
MKM-S6,McKenzie,11/1/2021,40.352113,-120.9113173,12.55187791,0.827183494,3.81888823,5.367219454
MKM-S7,McKenzie,11/1/2021,40.34874878,-120.9134959,12.34023428,0.789021859,1.416778381,5.57628915
MKM-S8,McKenzie,11/1/2021,40.34518282,-120.9111405,9.707193631,0.561863089,0.583036371,4.482827599
MKM-S9,McKenzie,11/1/2021,40.34625894,-120.9126194,5.923122239,0.621023534,1.725787658,2.534288766
MMC1,Mountain Meadows Creek,11/19/2021,40.26257069,-120.903037,8.673160157,0.344972612,0.116607274,2.751596309
MMC10,Mountain Meadows Creek,11/19/2021,40.2698987,-120.911365,16.00529118,0.90858453,1.072786923,6.027978274
MMC11,Mountain Meadows Creek,11/19/2021,40.26744365,-120.911647,5.494329178,0.291535568,0.064134001,2.376109411
MMC12,Mountain Meadows Creek,11/19/2021,40.26509857,-120.911821,4.173169465,0.171052409,0.180741275,1.666658492
MMC2,Mountain Meadows Creek,11/19/2021,40.26375153,-120.902285,4.822620095,0.173665909,0.011660728,1.906197516
MMC3,Mountain Meadows Creek,11/19/2021,40.2650549,-120.901621,6.057650741,0.217046467,0.553884552,2.248891206
MMC4,Mountain Meadows Creek,11/19/2021,40.263754,-120.905938,10.91816545,0.588336706,0.577206008,4.804305228
MMC5,Mountain Meadows Creek,11/19/2021,40.26592038,-120.905606,7.678063146,0.317404716,0.97367074,2.810276776
MMC6,Mountain Meadows Creek,11/19/2021,40.2686787,-120.905337,4.376995743,0.156837628,0.909536739,1.478925071
MMC7,Mountain Meadows Creek,11/19/2021,40.26483588,-120.908749,6.948301491,0.264778047,0.023321455,2.530640656
MMC8,Mountain Meadows Creek,11/19/2021,40.26677174,-120.908537,10.17431351,0.985532596,2.413770576,6.088729325
MMC9,Mountain Meadows Creek,11/19/2021,40.26924514,-120.908308,4.209679142,0.172687549,0.087455456,2.141334175
LASC1,Upper Lacey,8/29/2019,39.45151001,-120.434307,8.187737781,0.602818207,1.260174812,
LASC2,Upper Lacey,8/29/2019,39.45216598,-120.433713,7.89323547,0.706984685,0.924520774,
LASC3,Upper Lacey,8/29/2019,39.45264601,-120.432585,6.064611704,0.498818224,2.343689604,
LASC4,Upper Lacey,8/29/2019,39.45335797,-120.432288,7.757151803,0.719594319,1.925594223,
LASC6,Upper Lacey,8/29/2019,39.45563802,-120.43028,8.999654699,0.783280424,2.520349625,
